type,title,url,wiki_title,wiki_url,wiki_extract,ka_best,ka_top3,confidence,matched_terms_bestka,hist_birth,hist_death,hist_mid,wiki_years,wiki_year_median,active_year,ka_status
persoon,"Abbe, Ernst",https://historiek.net/ernst-abbe-1840-1905/3111/,ATB Eerste Generatie,https://nl.wikipedia.org/wiki/ATB_Eerste_Generatie,"ATB, tegenwoordig aangeduid als ATB-EG, is een Nederlands treinbeïnvloedingssysteem. ATB-EG is geïnstalleerd op bijna alle Nederlandse hoofdspoorlijnen, met uitzondering van de HSL en de Betuweroute waar in plaats daarvan het ETCS is geïnstalleerd. Op de meeste nevenlijnen is ATB-NG geïnstalleerd.",,,0.0,,1840,1905,1872,,,1872,uncertain
persoon,"Abboud, Ibrahim",https://historiek.net/ibrahim-abboud-1900-1983/3118/,,,,,,0.0,,1900,1983,1942,,,1942,uncertain
persoon,Abdullah I van Jordanië,https://historiek.net/abdullah-i-van-jordanie-1882-1951/3127/,Abdoellah I van Jordanië,https://nl.wikipedia.org/wiki/Abdoellah_I_van_Jordani%C3%AB,"Abdoellah bin Hoessein, was emir van Transjordanië van 1923 tot 1946, koning van Transjordanië van 1946 tot 1949 en koning van het Hasjemitische koninkrijk Jordanië van 1949 tot zijn dood in 1951.",,,0.0,,1882,1951,1916,1923 1946 1949 1951,1947,1947,uncertain
persoon,Abdülhamit I,https://historiek.net/abduelhamit-i-1725-1789/3146/,Abdülhamit I,https://nl.wikipedia.org/wiki/Abd%C3%BClhamit_I,Abdül-Hamid I was van 1774 tot 1789 de 27e Sultan van het Osmaanse Rijk.,,,0.0,,1725,1789,1757,1774 1789,1781,1781,uncertain
persoon,Abdülhamit II,https://historiek.net/abduelhamit-ii-1842-1918/3148/,Abdülhamit II,https://nl.wikipedia.org/wiki/Abd%C3%BClhamit_II,"Abdülhamit II was de 34e sultan van het Ottomaanse Rijk en de 113e kalief van de Oemma. Hij was de laatste monarch met absolute soevereiniteit. Zijn regeerperiode begon en eindigde met een constitutionele revolutie. Hij zorgde voor relatieve economische stabiliteit en voerde een gebalanceerd buitenlandbeleid. Onder Abdülhamid II onderging het rijk een moderniseringsslag op het gebied van onder meer onderwijs, zorg en infrastructuur. De Hamidische bloedbaden die in zijn regeerperiode plaatsvonden leverden hem de bijnaam Rode Sultan (Kızıl Sultan) op. Daarnaast wordt hij ook genoemd als de laatste ""grote sultan"". In 1909 werd hij afgezet door de Jong-Turken, vanwege zijn repressieve regeerstijl.",KA3,"KA3,KA23,KA28",0.2,ur,1842,1918,1880,1909,1909,1909,uncertain
persoon,"Abel, Frederick Augustus",https://historiek.net/frederick-augustus-abel-1827-1902/3154/,,,,KA6,"KA6,KA27",0.5,Augustus,1827,1902,1864,,,1864,confirmed
persoon,"Abernathy, Ralph",https://historiek.net/ralph-abernathy-1926-1990/3156/,,,,,,0.0,,1926,1990,1958,,,1958,uncertain
persoon,Aboe Bakr,https://historiek.net/aboe-bakr-en-het-begin-van-het-kalifaat/172850/,Aboe Bakr,https://nl.wikipedia.org/wiki/Aboe_Bakr,"Aboe Bakr (Abdullah ibn Abu Qahafa) (Arabisch: عبد الله بن أبي قحافة) (Mekka, ca. 573 - aldaar 634) was een vriend, trouw bondgenoot en een schoonvader van Mohammed, stichter van de islam. De naam van zijn vader was Uthman Abu Quhafa en van zijn moeder Salma Umm-ul-Khair. Aboe Bakr kreeg in totaal zes kinderen van vier vrouwen.",KA10,"KA10,KA12,KA47",0.6667,islam; mohammed; mekka; Mohammed,,,,,,,confirmed
persoon,Absyrtus,https://historiek.net/absyrtus-300-360/3173/,Absyrtus,https://nl.wikipedia.org/wiki/Absyrtus,"Absyrtus kan verwijzen naar:Absyrtus (mythologie), persoon uit de Griekse mythologie Absyrtus (dierenarts), vierde-eeuwse paardenarts Absyrtus (geslacht), een geslacht van vliesvleugelen Veterinair Studenten Corps Absyrtus",KA20,"KA20,KA5,KA19",0.3333,grieks; mythologie,,,,,,,confirmed
persoon,"Acerbi, Giuseppe",https://historiek.net/giuseppe-acerbi-1773-1846/3175/,,,,,,0.0,,1773,1846,1810,,,1810,uncertain
persoon,"Acheson, Dean",https://historiek.net/dean-acheson-1893-1971/3177/,,,,,,0.0,,1893,1971,1932,,,1932,uncertain
persoon,"Acker, Achiel",https://historiek.net/achiel-van-acker-1898-1975/3180/,,,,,,0.0,,1898,1975,1936,,,1936,uncertain
persoon,"Ackerman, Frans",https://historiek.net/frans-ackerman-ca-1330-1387/3181/,,,,,,0.0,,1330,1387,1358,,,1358,uncertain
persoon,"Acosta, José de",https://historiek.net/jose-de-acosta-1539-1600/3183/,,,,,,0.0,,1539,1600,1570,,,1570,uncertain
persoon,Ada van Holland,https://historiek.net/ada-van-holland-ca-1188-1223/3185/,Ada van Holland,https://nl.wikipedia.org/wiki/Ada_van_Holland,"Ada van Holland kan verwijzen naar:Ada van Holland, gravin van Holland Ada van Holland (abdis), abdis te Rijnsburg Ada van Holland, een veerboot",KA3,"KA3,KA7,KA42",0.3333,ur,1188,1223,1206,,,1206,confirmed
persoon,Adalbert van Praag,https://historiek.net/adalbert-van-praag-ca-956-997/3199/,Adalbert van Praag,https://nl.wikipedia.org/wiki/Adalbert_van_Praag,"Adalbert Sławnikowic was een 10e-eeuwse bisschop uit Praag die martelaar werd in zijn inspanningen om Baltische Pruisen te bekeren. Hij werd later tot patroonheilige van Bohemen benoemd in Polen, Hongarije, en Pruisen.",KA9,"KA9,KA24,KA25",0.25,bisschop,956,997,976,,,976,confirmed
persoon,Adam (Genesis),https://historiek.net/de-eerste-androgyne-mens-volgens-genesis-plato/139229/,,,,,,0.0,,,,,,,,uncertain
persoon,"Adams, Douglas",https://historiek.net/douglas-adams-hitchhikers-guide-to-the-galaxy/21345/,,,,,,0.0,,,,,,,,uncertain
persoon,"Adams, Hendrik",https://historiek.net/de-boerenpartij-de-affaire-adams/139349/,,,,,,0.0,,,,,,,,uncertain
persoon,"Adams, John",https://historiek.net/john-adams-1735-1826/3202/,Adams-Onísverdrag,https://nl.wikipedia.org/wiki/Adams-On%C3%ADsverdrag,Het Adams-Onísverdrag was een overeenkomst die in 1819 plaatsvond tussen de Verenigde Staten en Spanje en de grens vastlegde in Noord-Amerika tussen de twee landen. De overeenkomst was het gevolg van spanningen tussen de Verenigde Staten en het steeds zwakker wordende Spanje.,KA7,"KA7,KA18,KA22",0.3333,grens,1735,1826,1780,1819,1819,1819,confirmed
persoon,"Adams, Samuel",https://historiek.net/samuel-adams-1722-1803/3206/,,,,,,0.0,,1722,1803,1762,,,1762,uncertain
persoon,"Addams, Jane",https://historiek.net/jane-addams-1860-1935/3208/,,,,,,0.0,,1860,1935,1898,,,1898,uncertain
persoon,"Addington, Henry",https://historiek.net/henry-addington-1757-1844/3237/,,,,,,0.0,,1757,1844,1800,,,1800,uncertain
persoon,Adelbert van Egmond,https://historiek.net/adalbert-van-egmond/69707/,Adelbert van Egmond,https://nl.wikipedia.org/wiki/Adelbert_van_Egmond,"De heilige Adelbert was een missionaris in Holland. Hij was, evenals Willibrord, een leerling van Sint-Egbert van Rathmelsigi en zou met Willibrord vanuit Ierland de overtocht hebben gemaakt. Naast het verkondigen van het evangelie zou hij ook een wonder hebben verricht. Na zijn dood ontstond een cultus rondom zijn graf.",KA9,"KA9,KA38",0.5,Willibrord,,,,,,,confirmed
persoon,"Adema, Wim Hora",https://historiek.net/wim-hora-adema-journaliste-oprichtster-opzij/149545/,,,,,,0.0,,,,,,,,uncertain
